Lon,Lat,C_K_L_ESM,B_K_L_ESM,U_K_L_ESM
21,52,0.200087739,0.167996785,0.631915477
21,53,0.203822064,0.17101934,0.625158596
21,54,0.219891931,0.181465764,0.598642305
21,55,0.217557207,0.194145754,0.588297039
21,61,0.432127284,0.241278706,0.32659401
21,64,0.393258375,0.274364213,0.332377412
21,65,0.397789766,0.282938906,0.319271328
21,66,0.392577758,0.284651056,0.322771187
21,67,0.371426345,0.29063424,0.337939415
21,68,0.326824756,0.296006473,0.377168771
21,69,0.251026724,0.327606162,0.421367115
21,70,0.212229647,0.373671422,0.414098931
21,71,0.244920639,0.377081138,0.377998223
22,45,0.244777697,0.18691166,0.568310643
22,46,0.324159189,0.185745629,0.490095183
22,47,0.293427249,0.202220058,0.504352693
22,48,0.23852402,0.200931935,0.560544045
22,49,0.281750585,0.189812504,0.528436911
22,50,0.2826734,0.193218394,0.524108207
22,51,0.213139754,0.185324297,0.60153595
22,52,0.206071968,0.183059564,0.610868468
22,53,0.211502341,0.186966369,0.601531289
22,54,0.227692889,0.196827411,0.5754797
22,55,0.235853754,0.210180574,0.553965672
22,56,0.259451389,0.225683903,0.514864709
22,57,0.307522559,0.243355008,0.449122433
22,58,0.372364002,0.253606557,0.374029441
22,59,0.414220393,0.259579245,0.326200362
22,61,0.442368757,0.24995487,0.307676373
22,62,0.468344435,0.24283413,0.288821435
22,63,0.440354894,0.258620229,0.301024877
22,64,0.409961132,0.272148416,0.317890452
22,66,0.394085043,0.281234425,0.324680532
22,67,0.379390903,0.283147449,0.337461648
22,68,0.356381266,0.286305058,0.357313676
22,69,0.280073583,0.308863747,0.41106267
22,70,0.2348245,0.347582046,0.417593454
22,71,0.223729976,0.358635699,0.417634325
23,45,0.206199398,0.18817006,0.605630542
23,46,0.32890458,0.190844228,0.480251192
23,47,0.285032294,0.203383307,0.511584399
23,48,0.272177034,0.191710688,0.536112277
23,49,0.337401108,0.194662861,0.467936031
23,50,0.263148069,0.203990417,0.532861515
23,51,0.224359574,0.20152008,0.574120347
23,52,0.232239116,0.200221022,0.567539862
23,53,0.223872976,0.204604806,0.571522219
23,54,0.245433432,0.21530991,0.539256658
23,55,0.251570121,0.229483139,0.51894674
23,56,0.27037178,0.247949149,0.481679071
23,57,0.294760218,0.267637746,0.437602036
23,58,0.365360896,0.275189675,0.359449429
23,59,0.395068845,0.284169035,0.320762121
23,60,0.428832449,0.275522494,0.295645057
23,61,0.445308568,0.266338129,0.288353303
23,62,0.467636735,0.256939215,0.27542405
23,63,0.466381698,0.259701563,0.273916739
23,64,0.435048597,0.27268061,0.292270793
23,66,0.390130474,0.282055505,0.327814022
23,67,0.390182231,0.280221316,0.329596453
23,68,0.370716206,0.282705857,0.346577937
23,69,0.318806008,0.299516028,0.381677964
23,70,0.238850576,0.334946627,0.426202798
23,71,0.271556403,0.341502079,0.386941519
24,45,0.217461604,0.196820114,0.585718283
24,46,0.299802198,0.206836886,0.493360916
24,47,0.252833433,0.192938989,0.554227578
24,48,0.339641646,0.188959479,0.471398875
24,49,0.326099618,0.206696628,0.467203754
24,50,0.227314893,0.214607787,0.55807732
24,51,0.226871795,0.214954555,0.55817365
24,52,0.24131287,0.215514898,0.543172233
24,53,0.228771797,0.221977784,0.549250419
24,54,0.247287802,0.232989338,0.519722861
24,55,0.277400206,0.247187976,0.475411818
24,56,0.274631444,0.268074171,0.457294385
24,57,0.303191096,0.28540388,0.411405024
24,58,0.356180716,0.295310567,0.348508717
24,59,0.38340088,0.308784445,0.307814675
24,60,0.413475697,0.301605933,0.28491837
24,61,0.455311082,0.281924297,0.26276462
24,62,0.471461198,0.271300173,0.257238628
24,63,0.482250858,0.265328151,0.252420992
24,64,0.449975268,0.276420658,0.273604075
24,65,0.424058894,0.282141947,0.293799159
24,66,0.413920113,0.277723554,0.308356333
24,67,0.392679279,0.279667197,0.327653524
24,68,0.384064655,0.279395648,0.336539697
24,69,0.320933889,0.297760017,0.381306094
24,70,0.275597102,0.322711607,0.401691292
24,71,0.275221023,0.336506437,0.38827254
25,45,0.208119321,0.201095225,0.590785454
25,46,0.312202816,0.192378181,0.495419003
25,47,0.326104501,0.188586549,0.48530895
25,48,0.349659236,0.208111644,0.44222912
25,49,0.245852399,0.218410778,0.535736823
25,50,0.226991578,0.223017476,0.549990946
25,51,0.22755995,0.227539692,0.544900357
25,52,0.259778237,0.22884245,0.511379313
25,53,0.254970901,0.235606988,0.509422111
25,54,0.257542962,0.246375218,0.496081821
25,55,0.2950693,0.257712638,0.447218063
25,56,0.310682263,0.275054052,0.414263685
25,57,0.333625074,0.291678235,0.374696692
25,58,0.359562793,0.30821836,0.332218847
25,59,0.3845527,0.31988967,0.29555763
25,60,0.420348116,0.319554218,0.260097666
25,61,0.446570791,0.308540444,0.244888765
25,62,0.47075762,0.296407286,0.232835095
25,63,0.474051312,0.285329305,0.240619383
25,64,0.448983227,0.286681582,0.264335191
25,65,0.417243044,0.288089065,0.294667892
25,66,0.427499394,0.275497192,0.297003414
25,67,0.397810018,0.278784265,0.323405717
25,68,0.387799133,0.281823507,0.330377361
25,69,0.34004255,0.300320082,0.359637368
25,70,0.29525055,0.32494877,0.37980068
25,71,0.294032026,0.336211479,0.369756495
26,45,0.193082699,0.213617459,0.593299842
26,46,0.277050588,0.208724948,0.514224464
26,47,0.284331726,0.221466193,0.494202081
26,48,0.229954629,0.22906794,0.54097743
26,49,0.214248746,0.226716712,0.559034542
26,50,0.210479501,0.231868814,0.557651686
26,51,0.243269747,0.23575401,0.520976242
26,52,0.268446279,0.23951303,0.492040692
26,53,0.265971857,0.246859523,0.48716862
26,54,0.275146335,0.257648189,0.467205475
26,55,0.292604731,0.270605129,0.436790141
26,56,0.316215853,0.285315381,0.398468766
26,57,0.33879577,0.299933659,0.361270572
26,58,0.370172915,0.313174032,0.316653053
26,59,0.393932832,0.3314801,0.274587068
26,60,0.421598299,0.335639156,0.242762545
26,61,0.439467298,0.328506534,0.232026168
26,62,0.469630102,0.314000819,0.216369079
26,63,0.464902553,0.302310994,0.232786453
26,64,0.446494146,0.293857862,0.259647992
26,65,0.432449252,0.285047721,0.282503028
26,66,0.422930172,0.275585541,0.301484287
26,67,0.402295301,0.276573213,0.321131486
26,68,0.388553305,0.285514737,0.325931958
26,69,0.368692596,0.297249308,0.334058097
26,70,0.289076712,0.331399411,0.379523877
26,71,0.278369119,0.343679776,0.377951105
27,45,0.174114584,0.239067077,0.586818339
27,46,0.221305787,0.234278261,0.544415952
27,47,0.212746122,0.237440713,0.549813165
27,48,0.225145496,0.233974807,0.540879697
27,49,0.233065578,0.231661374,0.535273048
27,50,0.22411193,0.237832405,0.538055665
27,51,0.255072196,0.242433127,0.502494677
27,52,0.268971572,0.249564137,0.481464291
27,53,0.266005106,0.257823086,0.476171808
27,54,0.279105486,0.267222488,0.453672026
27,55,0.308114247,0.280190667,0.411695086
27,56,0.316734591,0.295802635,0.387462774
27,57,0.347030149,0.309551781,0.343418071
27,58,0.372007114,0.322656842,0.305336044
27,59,0.398532366,0.338246384,0.263221251
27,60,0.429652287,0.343962105,0.226385608
27,61,0.438462429,0.339312152,0.22222542
27,62,0.450255815,0.328778039,0.220966147
27,63,0.443037773,0.317114473,0.239847754
27,64,0.429519964,0.30168408,0.268795956
27,65,0.425708314,0.284631063,0.289660623
27,66,0.407182827,0.275633833,0.31718334
27,67,0.387488201,0.277047885,0.335463914
27,68,0.393381252,0.285423226,0.321195522
27,69,0.374815418,0.305636338,0.319548244
27,70,0.329973445,0.329274227,0.340752328
27,71,0.264676001,0.34994646,0.385377539
28,45,0.161046311,0.240486066,0.598467623
28,46,0.215957733,0.239440183,0.544602085
28,47,0.234987559,0.238517248,0.526495193
28,48,0.237535741,0.236475443,0.525988816
28,49,0.231965945,0.237170367,0.530863688
28,50,0.229056938,0.242996324,0.527946738
28,51,0.257346372,0.248986183,0.493667445
28,52,0.277609658,0.255610534,0.466779808
28,53,0.282965318,0.26443176,0.452602923
28,54,0.292614434,0.274850198,0.432535368
28,55,0.312941207,0.287649653,0.39940914
28,56,0.333325782,0.30040478,0.366269438
28,57,0.358227607,0.315274411,0.326497983
28,58,0.35178382,0.336288712,0.311927468
28,59,0.416555887,0.33515537,0.248288743
28,60,0.42189425,0.349255169,0.228850582
28,61,0.433315704,0.34707272,0.219611576
